,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
902,1,344.609650562745,39.658712282541295,344.88353414,40.02822062,0,734,7,2,25,1,zg,2440287582515,2440,244028758,1,object,o,2023-09-07 06:54:07.43+00,2460194.787581,30,20230907287569,2.08978009,1.028,-0.462875992,0,20.9655991,1536.5,1540.5,344.8833367878,40.02892680552,-0.0002813994692857,5.692684760699e-06,-5.200582346865e-06,-0.0002811924149752,345.43987895,40.46872153,344.30453203,40.4509045,344.33438515,39.58503412,345.45565164,39.60242324,2024-01-08 00:00:00+00,1
903,1,344.609650562745,39.658712282541295,344.87384216,40.01538978,0,734,7,2,25,2,zr,1945478502515,1945,194547850,1,object,o,2022-04-30 11:29:03.542+00,2459699.9785069,30,20220430478507,1.51238,1.83299994,-0.00159076997,0,20.7003002,1536.5,1540.5,344.8738609252,40.01536288256,-0.0002812980352163,5.546036508465e-06,-5.585548745072e-06,-0.0002812959930596,345.43056186,40.45559726,344.2949547,40.43837658,344.32433121,39.5724827,345.44587353,39.58928998,2022-07-07 00:00:00+00,1
904,1,344.609650562745,39.658712282541295,344.90157415,40.02100239,0,734,7,2,25,1,zg,2016415152515,2016,201641515,1,object,o,2022-07-10 09:57:49.08+00,2459770.9151505,30,20220710415139,2.03549004,1.07700002,0.840134978,0,21.1263008,1536.5,1540.5,344.9016287272,40.02095657503,-0.0002812715723762,5.645325940142e-06,-5.684835462277e-06,-0.0002812695444117,345.4580361,40.46142619,344.32270775,40.44381003,344.35229091,39.57789511,345.47357794,39.5950598,2022-11-08 00:00:00+00,1
905,1,344.609650562745,39.658712282541295,344.8687538,40.01349643,0,734,7,2,25,2,zr,1920522192515,1920,192052219,1,object,o,2022-04-05 12:31:58.703+00,2459675.0221991,30,20220405522188,2.03577995,2.21799994,0.172722995,0,19.6089001,1536.5,1540.5,344.8687544994,40.01349422711,-0.0002813161986242,5.538921529213e-06,-5.578436242056e-06,-0.0002813141552876,345.42547898,40.45362491,344.28985067,40.43656788,344.31924588,39.57067324,345.44088655,39.58726476,2022-07-07 00:00:00+00,1
906,1,344.609650562745,39.658712282541295,344.8923386,40.0267296,0,734,7,2,25,2,zr,2416384652515,2416,241638465,1,object,o,2023-08-14 09:13:54.984+00,2460170.8846528,30,20230814384641,1.63619006,1.00899994,-0.0367472991,0,21.2751999,1536.5,1540.5,344.8923956309,40.026686877,-0.0002812482329946,5.696335745607e-06,-5.735842506416e-06,-0.0002812462124191,345.44864683,40.46719265,344.31339747,40.44940903,344.34320969,39.58356835,345.46443656,39.60092955,2023-11-07 00:00:00+00,1
907,1,344.609650562745,39.658712282541295,344.89228466,40.02765109,0,734,7,2,25,2,zr,2414347632515,2414,241434763,1,object,o,2023-08-12 08:20:36.104+00,2460168.8476389,30,20230812347627,1.57344997,1.04100001,-0.143879995,0,21.2331009,1536.5,1540.5,344.892289935,40.02765555976,-0.0002812538038201,5.682166868895e-06,-5.721674268774e-06,-0.0002812517812012,345.44868071,40.46811845,344.31335985,40.45037082,344.34307609,39.58450229,345.46436116,39.60180453,2023-11-07 00:00:00+00,1
908,1,344.609650562745,39.658712282541295,344.86365472,40.02462621,0,734,7,2,25,1,zg,1395246822515,1395,139524682,1,object,o,2020-10-27 05:55:26.079+00,2459149.7468287,30,20201027246817,4.01141977,1.05400002,0.837529004,0,19.4347992,1536.5,1540.5,344.8636578889,40.0246193891,-0.000281261284783,5.897504064005e-06,-5.936615095683e-06,-0.0002812544488097,345.4195081,40.46548669,344.28419841,40.44694522,344.31505425,39.58111831,345.43626004,39.5991968,2021-03-31 00:00:00+00,1
909,1,344.609650562745,39.658712282541295,344.90435141,40.02277744,0,734,7,2,25,2,zr,2431294122515,2431,243129412,1,object,o,2023-08-29 07:03:32.716+00,2460185.7941204,30,20230829293854,1.73371994,1.051,0.951626003,0,20.4501991,1536.5,1540.5,344.9043953065,40.02272995357,-0.0002812473700267,5.556013731365e-06,-5.595518961594e-06,-0.0002812453297774,345.46079372,40.46311295,344.32561575,40.44556984,344.35507345,39.57973504,345.47623417,39.59683615,2023-11-07 00:00:00+00,1
910,1,344.609650562745,39.658712282541295,344.88066557,40.01636681,0,734,7,2,25,2,zr,2308484982515,2308,230848498,1,object,o,2023-04-28 11:38:23.987+00,2460062.9849884,30,20230428484988,2.05724001,1.82799995,0.556832016,0,20.5156994,1536.5,1540.5,344.8807145691,40.01635817636,-0.000281301559391,5.531129931949e-06,-5.570642513141e-06,-0.0002812995151082,345.43746174,40.45660915,344.3017292,40.43937573,344.33107644,39.57347767,345.45267128,39.5902892,2023-07-07 00:00:00+00,1
911,1,344.609650562745,39.658712282541295,344.87111638,40.01096248,0,734,7,2,25,2,zr,1570498052515,1570,157049805,1,object,o,2021-04-20 11:57:12.924+00,2459324.9980556,30,20210420498056,1.77099001,1.92799997,0.521507978,0,20.6095009,1536.5,1540.5,344.8711374393,40.01093741125,-0.0002813110217219,5.627325589334e-06,-5.666840464054e-06,-0.0002813089908372,345.42755469,40.45136182,344.29195289,40.43381165,344.32185937,39.56787309,345.4434152,39.584996,2021-06-30 00:00:00+00,1
912,1,344.609650562745,39.658712282541295,344.87604077,40.0093967,0,734,7,2,25,2,zr,1924512292515,1924,192451229,1,object,o,2022-04-09 12:17:42.2+00,2459679.0122917,30,20220409512280,1.66110003,2.19899988,0.52265197,0,19.6413994,1536.5,1540.5,344.8760278097,40.00934806689,-0.0002813183603675,5.516161205291e-06,-5.555675992726e-06,-0.0002813163138165,345.43281587,40.44951003,344.29706947,40.43253112,344.32644444,39.56659928,345.44812173,39.58313818,2022-07-07 00:00:00+00,1
913,1,344.609650562745,39.658712282541295,344.86533573,40.00443733,0,734,7,2,25,2,zr,1953424442515,1953,195342444,1,object,o,2022-05-08 10:11:12.823+00,2459707.9244444,30,20220508424444,3.2033,2.37599993,0.442230999,0,20.1849003,1536.5,1540.5,344.8653902071,40.0043915043,-0.0002813354862021,5.559606155308e-06,-5.599123781319e-06,-0.0002813334455733,345.42206256,40.44463716,344.28623085,40.42757127,344.31588269,39.56157034,345.43760193,39.5781831,2022-09-07 00:00:00+00,1
914,1,344.609650562745,39.658712282541295,344.88081476,39.99256869,0,734,7,2,25,1,zg,1283352772515,1283,128335277,1,object,o,2020-07-07 08:28:00.553+00,2459037.8527778,30,20200707352778,2.21009994,1.31799996,-0.947516978,0,19.9689007,1536.5,1540.5,344.88082552,39.99255888868,-0.0002812806589462,5.630777969294e-06,-5.669232962624e-06,-0.0002812789274284,345.4370564,40.43313842,344.30201347,40.41535598,344.33184115,39.54941808,345.45271869,39.56672842,2021-03-31 00:00:00+00,1
915,1,344.609650562745,39.658712282541295,344.88953702,40.01825907,0,734,7,2,25,2,zr,1636392522515,1636,163639252,1,object,o,2021-06-25 09:25:14.811+00,2459390.8925231,30,20210625392523,1.77197003,1.28499997,-0.994340003,0,20.1842995,1536.5,1540.5,344.8895532933,40.01821218027,-0.0002812694014026,5.711226807969e-06,-5.750736687565e-06,-0.0002812673827035,345.44585588,40.45880261,344.3105083,40.44095121,344.34043105,39.57506507,345.46169686,39.5924565,2023-01-09 00:00:00+00,2
916,1,344.609650562745,39.658712282541295,344.87128418,39.98670494,33554432,734,7,2,25,3,zi,941365772515,941,94136577,1,object,o,2019-07-31 08:46:43.213+00,2458695.8657755,30,20190731365775,1.28822994,1.06299996,-0.00866807997,0,20.4612999,1536.5,1540.5,344.8713211409,39.98667827731,-0.0002812524927142,5.79140326574e-06,-5.826209550587e-06,-0.0002812494514113,345.42707405,40.42737744,344.2924842,40.40924573,344.32267932,39.5433846,345.44327744,39.56105721,2021-03-31 00:00:00+00,2
917,1,344.609650562745,39.658712282541295,344.8830273,40.02006178,0,734,7,2,25,2,zr,2346436072515,2346,234643607,1,object,o,2023-06-05 10:27:57.914+00,2460100.9360764,30,20230605436076,1.44173002,1.352,-0.977275014,0,20.3075008,1536.5,1540.5,344.883067651,40.02003301884,-0.0002812733486181,5.552723029214e-06,-5.599114828173e-06,-0.0002812644335833,345.43962701,40.4603798,344.30423796,40.44295715,344.33362799,39.57705877,345.45495689,39.59405395,2023-09-07 00:00:00+00,1
918,1,344.609650562745,39.658712282541295,344.86066181,40.02024361,0,734,7,2,25,1,zg,1448200712515,1448,144820071,1,object,o,2020-12-19 04:49:02.543+00,2459202.7007176,30,20201219200718,3.07442999,1.41700006,0.236967996,0,20.2106991,1536.5,1540.5,344.8606320684,40.02019921343,-0.0002812724918362,5.901419086792e-06,-5.936671009427e-06,-0.0002812745862141,345.41657087,40.46113517,344.28107717,40.44250915,344.31188447,39.57667989,345.43331757,39.59483935,2021-03-31 00:00:00+00,1
